id,timestamp,model,source_docs,question,output,citation,answered_from_context,reviewer_status,reviewer_note
18,2026-08-25T10:54:53.971323+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many vacation days do employees get per year?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
19,2026-08-25T11:08:43.968749+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many days of continuous employment before I'm eligible for remote work?,Employees who have completed 90 days of continuous employment are eligible to apply for a remote work arrangement. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
20,2026-08-25T11:08:46.748458+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the home office stipend amount?,The company provides a one-time home office stipend of $300 CAD. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
21,2026-08-25T11:08:49.800294+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Do I need a receipt for a $15 expense?,"No, you do not need a receipt for a $15 expense, as it is under the monthly cap of $100 CAD in self-certified claims. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
22,2026-08-25T11:08:52.643479+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the daily meal reimbursement cap while travelling?,"Meal reimbursement while travelling on company business is capped at $75 CAD per day, inclusive of tips. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
23,2026-08-25T11:08:55.190820+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Can I expense alcohol on a business trip?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
24,2026-08-25T11:08:57.754053+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many vacation days do employees get per year?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
25,2026-08-25T11:11:22.362059+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many days of continuous employment before I'm eligible for remote work?,Employees who have completed 90 days of continuous employment are eligible to apply for a remote work arrangement. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
26,2026-08-25T11:11:25.126530+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the home office stipend amount?,The company provides a one-time home office stipend of $300 CAD. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
27,2026-08-25T11:11:28.038158+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Do I need a receipt for a $15 expense?,You do not need a receipt for a $15 expense because it is under the $25 CAD threshold. [Source: expense_policy.txt],expense_policy.txt,1,pending,
28,2026-08-25T11:11:30.947136+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the daily meal reimbursement cap while travelling?,"Meal reimbursement while travelling on company business is capped at $75 CAD per day, inclusive of tips. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
29,2026-08-25T11:11:33.585965+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Can I expense alcohol on a business trip?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
30,2026-08-25T11:11:36.219717+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many vacation days do employees get per year?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
31,2026-08-25T11:23:58.899216+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many days of continuous employment before I'm eligible for remote work?,Employees who have completed 90 days of continuous employment are eligible to apply for a remote work arrangement. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
32,2026-08-25T11:24:01.639379+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the home office stipend amount?,The home office stipend amount is $300 CAD. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
33,2026-08-25T11:24:05.111133+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Do I need a receipt for a $15 expense?,"[Source: expense_policy.txt] Expenses under $25 CAD may be self-certified without a receipt, up to a monthly cap of $100 CAD in self-certified claims. Since your expense is $15, which is under $25 CAD, you do not need a receipt.",expense_policy.txt,1,pending,
34,2026-08-25T11:24:07.961276+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the daily meal reimbursement cap while travelling?,"Meal reimbursement while travelling on company business is capped at $75 CAD per day, inclusive of tips. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
35,2026-08-25T11:24:10.586447+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Can I expense alcohol on a business trip?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
36,2026-08-25T11:24:13.196883+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many vacation days do employees get per year?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
37,2026-08-25T11:30:31.227883+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many days of continuous employment before I'm eligible for remote work?,[Source: remote_work_policy.txt] Employees who have completed 90 days of continuous employment are eligible to apply for a remote work arrangement.,remote_work_policy.txt,1,pending,
38,2026-08-25T11:30:33.973827+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the home office stipend amount?,The company provides a one-time home office stipend of $300 CAD. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
39,2026-08-25T11:30:37.181336+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Do I need a receipt for a $15 expense?,"According to the document ""expense_policy.txt"", receipts are not required for expenses under $25 CAD, as long as the total in self-certified claims does not exceed $100 CAD per month. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
40,2026-08-25T11:30:40.001764+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the daily meal reimbursement cap while travelling?,"The daily meal reimbursement cap while travelling on company business is $75 CAD per day, inclusive of tips. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
41,2026-08-25T11:30:42.541693+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Can I expense alcohol on a business trip?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
42,2026-08-25T11:30:45.134835+00:00,llama3.1:8b,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many vacation days do employees get per year?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
43,2026-08-25T12:32:29.229208+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many days of continuous employment before I'm eligible for remote work?,Employees who have completed 90 days of continuous employment are eligible to apply for a remote work arrangement. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
44,2026-08-25T12:32:34.809919+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the home office stipend amount?,The company provides a one-time home office stipend of $300 CAD. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
45,2026-08-25T12:32:45.880601+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Do I need a receipt for a $15 expense?,"According to the expense policy, receipts are required for any single expense over $25 CAD [Source: expense_policy.txt]. Since your expense is $15, which is under $25, you may self-certify it without a receipt. However, note that the monthly cap for self-certified claims is $100 CAD.",expense_policy.txt,1,pending,
46,2026-08-25T12:32:51.871398+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the daily meal reimbursement cap while travelling?,"Meal reimbursement while traveling on company business is capped at $75 CAD per day, inclusive of tips. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
47,2026-08-25T12:32:56.439734+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Can I expense alcohol on a business trip?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
48,2026-08-25T12:33:01.146077+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many vacation days do employees get per year?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
49,2026-08-25T13:06:18.949469+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many days of continuous employment before I'm eligible for remote work?,Employees who have completed 90 days of continuous employment are eligible to apply for a remote work arrangement. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
50,2026-08-25T13:06:24.907925+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the home office stipend amount?,The home office stipend amount is $300 CAD. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
51,2026-08-25T13:06:36.011398+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Do I need a receipt for a $15 expense?,"Yes, you need a receipt for a $15 expense. However, since the expense is under $25, it may be self-certified without a receipt, up to a monthly cap of $100 CAD in self-certified claims. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
52,2026-08-25T13:06:43.539876+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the daily meal reimbursement cap while travelling?,"Meal reimbursement while traveling on company business is capped at $75 CAD per day, inclusive of tips. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
53,2026-08-25T13:06:48.374017+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Can I expense alcohol on a business trip?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
54,2026-08-25T13:06:53.120068+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many vacation days do employees get per year?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
55,2026-08-25T13:17:51.789226+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many days of continuous employment before I'm eligible for remote work?,Employees who have completed 90 days of continuous employment are eligible to apply for a remote work arrangement. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
56,2026-08-25T13:17:57.151430+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the home office stipend amount?,The home office stipend amount is $300 CAD. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
57,2026-08-25T13:18:04.282137+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Do I need a receipt for a $15 expense?,You do not need a receipt for a $15 expense if it is under the monthly cap of $100 in self-certified claims [Source: expense_policy.txt].,expense_policy.txt,1,pending,
58,2026-08-25T13:18:10.384934+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the daily meal reimbursement cap while travelling?,"Meal reimbursement while travelling on company business is capped at $75 CAD per day, inclusive of tips. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
59,2026-08-25T13:18:15.305975+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Can I expense alcohol on a business trip?,Alcohol is not reimbursable under any circumstances. [Source: expense_policy.txt],expense_policy.txt,1,pending,
60,2026-08-25T13:18:20.127205+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many vacation days do employees get per year?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
61,2026-08-25T13:38:42.103013+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many days of continuous employment before I'm eligible for remote work?,90 days of continuous employment are required before you're eligible to apply for a remote work arrangement. [Source: remote_work_policy.txt],remote_work_policy.txt,1,pending,
62,2026-08-25T13:38:47.097449+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the home office stipend amount?,The home office stipend amount is $300 CAD [Source: remote_work_policy.txt].,remote_work_policy.txt,1,pending,
63,2026-08-25T13:38:54.370159+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Do I need a receipt for a $15 expense?,"According to [Source: expense_policy.txt], receipts are not required for expenses under $25 CAD, up to a monthly cap of $100 CAD in self-certified claims.",expense_policy.txt,1,pending,
64,2026-08-25T13:39:00.631279+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the daily meal reimbursement cap while travelling?,"Meal reimbursement while travelling on company business is capped at $75 CAD per day, inclusive of tips. [Source: expense_policy.txt]",expense_policy.txt,1,pending,
65,2026-08-25T13:39:05.847005+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Can I expense alcohol on a business trip?,NO. Alcohol is not reimbursable under any circumstances. [Source: expense_policy.txt],expense_policy.txt,1,pending,
66,2026-08-25T13:39:10.502864+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How many vacation days do employees get per year?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
67,2026-08-25T14:05:28.553412+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the timeframe allowed for exchanging or returning a product?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
68,2026-08-25T14:05:34.704260+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",How long is the warranty period for cordless vacuums and purifiers?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
69,2026-08-25T14:05:40.038523+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What is the warranty period for upright vacuums?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
70,2026-08-25T14:05:45.094400+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",What email address should I contact for customer support within the UAE?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
71,2026-08-25T14:05:50.106229+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",Are battery and filter replacements covered under normal wear and tear?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
72,2026-08-25T14:05:55.118832+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt""]",In what form will a refund be issued if I return an item?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
73,2026-08-25T14:13:50.444897+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",What is the timeframe allowed for exchanging or returning a product?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
74,2026-08-25T14:13:55.403027+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",How long is the warranty period for cordless vacuums and purifiers?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
75,2026-08-25T14:14:00.232524+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",What is the warranty period for upright vacuums?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
76,2026-08-25T14:22:45.248549+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",What is the timeframe allowed for exchanging or returning a product?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
77,2026-08-25T14:22:50.477458+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",How long is the warranty period for cordless vacuums and purifiers?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
78,2026-08-25T14:22:55.474753+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",What is the warranty period for upright vacuums?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
79,2026-08-25T14:23:00.140447+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",What email address should I contact for customer support within the UAE?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
80,2026-08-25T14:25:00.988493+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",What is the timeframe allowed for exchanging or returning a product?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
81,2026-08-25T14:25:05.868404+00:00,llama3.1:8b-instruct-q8_0,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",How long is the warranty period for cordless vacuums and purifiers?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
82,2026-08-25T15:02:02.988858+00:00,gemini-3.5-flash,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",What is the timeframe allowed for exchanging or returning a product?,"An exchange or return of a product is possible within 14 days of purchase [Source: warranty_doc.pdf]. Additionally, any resulting refund will be in the form of Dyson credit vouchers or a credit memo, which must be redeemed within a period of 6 months [Source: warranty_doc.pdf].",warranty_doc.pdf,1,pending,
83,2026-08-25T15:02:06.841338+00:00,gemini-3.5-flash,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",How long is the warranty period for cordless vacuums and purifiers?,"The warranty period for cord-free vacuums and purifiers is 2 years [Source: warranty_doc.pdf]. This 2-year warranty coverage also applies to other Dyson products such as hair dryers, hair stylers, and lights [Source: warranty_doc.pdf].",warranty_doc.pdf,1,pending,
84,2026-08-25T15:02:10.199790+00:00,gemini-3.5-flash,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",What is the warranty period for upright vacuums?,The warranty period for upright vacuums is 5 years [Source: warranty_doc.pdf]. This same 5-year warranty period also applies to cylinder vacuums [Source: warranty_doc.pdf].,warranty_doc.pdf,1,pending,
85,2026-08-25T15:02:13.788043+00:00,gemini-3.5-flash,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",What email address should I contact for customer support within the UAE?,"For customer support within the UAE, you can contact Dyson via email at support.uae@dyson.com [Source: warranty_doc.pdf]. This email address can be used for general inquiries regarding what the warranty covers or for assistance with issues such as machine blockages [Source: warranty_doc.pdf].",warranty_doc.pdf,1,pending,
86,2026-08-25T15:02:16.659108+00:00,gemini-3.5-flash,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",Are battery and filter replacements covered under normal wear and tear?,"No, normal wear and tear, which includes parts that might wear out over time such as batteries and filters, is not covered under the Dyson warranty [Source: warranty_doc.pdf].",warranty_doc.pdf,1,pending,
87,2026-08-25T15:02:19.465304+00:00,gemini-3.5-flash,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",In what form will a refund be issued if I return an item?,"If you return an item, the refund will be issued in the form of Dyson credit vouchers or a credit memo only [Source: warranty_doc.pdf]. These credit vouchers or credit memos must be redeemed within a period of 6 months [Source: warranty_doc.pdf].",warranty_doc.pdf,1,pending,
88,2026-08-25T15:04:19.287136+00:00,gemini-3.1-flash-lite,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",What is the timeframe allowed for exchanging or returning a product?,"Exchange or return of a product is possible within 14 days of purchase, subject to the terms provided [Source: warranty_doc.pdf].",warranty_doc.pdf,1,pending,
89,2026-08-25T15:04:20.412224+00:00,gemini-3.1-flash-lite,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",How long is the warranty period for cordless vacuums and purifiers?,The warranty period for cord-free vacuums and purifiers is 2 years [Source: warranty_doc.pdf].,warranty_doc.pdf,1,pending,
90,2026-08-25T15:04:36.638610+00:00,gemini-3.1-flash-lite,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",What is the warranty period for upright vacuums?,The warranty period for upright vacuums is 5 years [Source: warranty_doc.pdf].,warranty_doc.pdf,1,pending,
91,2026-08-25T15:04:42.522283+00:00,gemini-3.1-flash-lite,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",What email address should I contact for customer support within the UAE?,You can contact customer support via email at support.uae@dyson.com [Source: warranty_doc.pdf].,warranty_doc.pdf,1,pending,
92,2026-08-25T15:04:45.115276+00:00,gemini-3.1-flash-lite,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",Are battery and filter replacements covered under normal wear and tear?,"No, battery and filter replacements are not covered by the Dyson warranty as they are considered normal wear and tear [Source: warranty_doc.pdf].",warranty_doc.pdf,1,pending,
93,2026-08-25T15:04:46.866384+00:00,gemini-3.1-flash-lite,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",In what form will a refund be issued if I return an item?,"Refunds are issued in the form of Dyson credit vouchers or a credit memo only, which must be redeemed within a period of 6 months [Source: warranty_doc.pdf].",warranty_doc.pdf,1,pending,
94,2026-08-25T15:04:56.289461+00:00,gemini-3.1-flash-lite,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",Can I transfer my Dyson warranty to a new owner if I sell the machine?,"Yes, Dyson guarantees are transferable with the machine, provided you supply the original proof of purchase from a recognised retailer and evidence of the change of ownership confirming the machine was in good working order at that time. [Source: warranty_doc.pdf]",warranty_doc.pdf,1,pending,
95,2026-08-25T15:04:57.378146+00:00,gemini-3.1-flash-lite,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",What percentage of Ontario's electricity supply mix came from Nuclear Energy in 2025?,NOT_FOUND: The provided documents do not contain information to answer this question.,,0,pending,
96,2026-08-25T15:04:58.728984+00:00,gemini-3.1-flash-lite,"[""expense_policy.txt"", ""remote_work_policy.txt"", ""util_doc.pdf"", ""warranty_doc.pdf""]",How many Terawatt-hours (TWh) did Water Power generate in total?,Water Power generated a total of 38.1 Terawatt-hours (TWh) [Source: util_doc.pdf].,util_doc.pdf,1,pending,
